session_id,slate_id,product_id,label,price,has_size,style,skin_temperature,skin_depth,frame,height_bucket,shoulders,color_tags,fit_tags,avoid_tags,rank_in_slate
s_cefa109c,sl_a7f17189,p_5f1219e3,0,1499,0,casual,cool,light,slim,tall,narrow,maroon;structured-shoulder;slim;casual,maroon;structured-shoulder;slim;casual,,0
s_cefa109c,sl_a7f17189,p_c0d88e68,1,3499,1,casual,cool,light,slim,tall,narrow,emerald;v-neck;slim;casual;brown,emerald;v-neck;slim;casual;brown,,1
s_cefa109c,sl_a7f17189,p_25a06cd7,1,2999,1,casual,cool,light,slim,tall,narrow,emerald;maroon;casual;ice blue;relaxed,emerald;maroon;casual;ice blue;relaxed,,2
s_cefa109c,sl_a7f17189,p_72ef7090,0,2499,1,casual,cool,light,slim,tall,narrow,structured-shoulder;navy;ice blue;casual;drape,structured-shoulder;navy;ice blue;casual;drape,,3
s_cefa109c,sl_a7f17189,p_7115ec9f,1,2499,1,casual,cool,light,slim,tall,narrow,cool gray;straight;crew;casual,cool gray;straight;crew;casual,,4
s_cefa109c,sl_a7f17189,p_b9cbbfb7,0,599,0,casual,cool,light,slim,tall,narrow,relaxed;wine;slim;casual,relaxed;wine;slim;casual,,5
s_cefa109c,sl_a7f17189,p_6e7ad8ec,1,2499,1,casual,cool,light,slim,tall,narrow,navy;structured-shoulder;drape;casual,navy;structured-shoulder;drape;casual,,6
s_cefa109c,sl_a7f17189,p_9774c72d,0,799,1,casual,cool,light,slim,tall,narrow,straight;rust;casual,straight;rust;casual,,7
s_cefa109c,sl_a7f17189,p_e2e879b6,0,2499,1,casual,cool,light,slim,tall,narrow,stone;v-neck;slim;casual,stone;v-neck;slim;casual,,8
s_cefa109c,sl_a7f17189,p_dbca6237,0,1799,0,casual,cool,light,slim,tall,narrow,regular;crew;cream;casual,regular;crew;cream;casual,,9
s_cefa109c,sl_a7f17189,p_90134e0d,0,1499,1,casual,cool,light,slim,tall,narrow,mandarin;tan;straight;casual;wine;warm beige,mandarin;tan;straight;casual;wine;warm beige,,10
s_cefa109c,sl_a7f17189,p_aa3ae0da,1,999,1,casual,cool,light,slim,tall,narrow,stand-collar;charcoal;olive;rust;casual;no-cling,stand-collar;charcoal;olive;rust;casual;no-cling,,11
s_cefa109c,sl_a7f17189,p_a8845649,0,1799,1,casual,cool,light,slim,tall,narrow,mandarin;stone;straight;charcoal;maroon;casual,mandarin;stone;straight;charcoal;maroon;casual,,12
s_cefa109c,sl_a7f17189,p_05a0fc58,0,1499,0,casual,cool,light,slim,tall,narrow,tan;casual;relaxed;wine;drape,tan;casual;relaxed;wine;drape,,13
s_cefa109c,sl_a7f17189,p_228136ba,0,799,0,casual,cool,light,slim,tall,narrow,cool gray;structured-shoulder;casual;rust;relaxed;wine;crew,cool gray;structured-shoulder;casual;rust;relaxed;wine;crew,,14
s_cefa109c,sl_a7f17189,p_76f5feaf,0,2999,1,casual,cool,light,slim,tall,narrow,brown;regular;slim;casual,brown;regular;slim;casual,,15
s_83f0dc8b,sl_1e11d1d8,p_0b66afa0,0,999,0,casual,cool,medium,fuller,short,narrow,short-mandarin;mustard;structured-shoulder;casual,short-mandarin;mustard;structured-shoulder;casual,,0
s_83f0dc8b,sl_1e11d1d8,p_4f48d189,1,999,1,casual,cool,medium,fuller,short,narrow,casual;henley;ice blue;relaxed;no-cling;brown;warm beige,casual;henley;ice blue;relaxed;no-cling;brown;warm beige,,1
s_83f0dc8b,sl_1e11d1d8,p_4fc7b890,0,3499,0,casual,cool,medium,fuller,short,narrow,structured-shoulder;stand-collar;olive;casual;drape,structured-shoulder;stand-collar;olive;casual;drape,,2
s_83f0dc8b,sl_1e11d1d8,p_ad024fab,1,799,1,casual,cool,medium,fuller,short,narrow,charcoal;casual;relaxed;wine;no-cling,charcoal;casual;relaxed;wine;no-cling,,3
s_83f0dc8b,sl_1e11d1d8,p_89ce46b5,0,2999,1,casual,cool,medium,fuller,short,narrow,taupe;mandarin;casual;no-cling;drape,taupe;mandarin;casual;no-cling;drape,,4
s_83f0dc8b,sl_1e11d1d8,p_a0297457,1,2499,1,casual,cool,medium,fuller,short,narrow,mandarin;cream;navy;slim;casual;no-cling,mandarin;cream;navy;slim;casual;no-cling,,5
s_83f0dc8b,sl_1e11d1d8,p_f6828c92,0,2999,1,casual,cool,medium,fuller,short,narrow,wine;regular;casual,wine;regular;casual,,6
s_83f0dc8b,sl_1e11d1d8,p_5b09e308,0,1499,1,casual,cool,medium,fuller,short,narrow,black;short-mandarin;slim;rust;casual,black;short-mandarin;slim;rust;casual,,7
s_83f0dc8b,sl_1e11d1d8,p_347ac63d,1,3499,0,casual,cool,medium,fuller,short,narrow,white;structured-shoulder;drape;casual,white;structured-shoulder;drape;casual,,8
s_83f0dc8b,sl_1e11d1d8,p_c3bde0ae,0,1999,0,casual,cool,medium,fuller,short,narrow,cool gray;casual;navy;relaxed;mustard,cool gray;casual;navy;relaxed;mustard,,9
